Id,Field_0,Field_1,Field_2,Field_3,Field_4,Field_5
1236,71185,组织汽车.,50977,Jeffrey|Gloria,finish:8|laugh:33|bag:38,Patricia|Julia
1237,36287,"Text, ""这么是否.""",72566,Cynthia|Maria|Jeffrey|Darin|Timothy,billion:39|chance:4,Kelly|Sharon|Holly|Donna|Christopher
1238,87801,各种进入.,76886,Derek|Eric|Diana|Mark,decide:8,James|Bethany|Cody|Richard|Andrew
1239,28730,"Text, ""下载.""",4904,Maria|Christine|Mark|Erica,fire:28,Jose|Sara|Paige|Lance
1240,55438,记者.,54076,Kristen|Christina|Courtney|Alexandra,impact:29|provide:16,Gregory|Stephen|William
1241,26253,使用回复关系.,57018,Joshua|Mary,result:12,Melissa|Karen|Joseph|Sheila|Krista
1242,44478,大学产品首页.,3312,Dylan|Christine|John|John|Hannah,happen:24|adult:11,Ashley|Brent|Kenneth|Randy|Phillip
1243,96569,制作没有.,73389,Molly|Lisa,significant:46|suggest:24,Matthew|Michael|Michael|Joshua
1244,98471,"Text, ""功能其中决定.""",74436,Isaiah|Matthew,red:23,Lindsay|David
1245,8562,不要进入.,12941,James|Jill|Sherry|Scott|Chelsea,response:47|letter:15,John|Andrew|Elizabeth
1246,29343,目前这个特别.,47053,Frederick|Natasha|Joseph|Danielle|Ellen,return:5,Nathaniel|Kathleen|Tanner
1247,30318,来源游戏.,20718,Jessica|Erica|Ashley|Michael,local:10|future:33,Mariah|James|William|Breanna
1248,28,合作觉得.,17146,Michael|Rachel|Jordan|Jamie,less:42|high:16|our:27,Paul|Dominique|Abigail|Amber|Joseph
1249,67604,大家注意.,79638,George|Sarah|Billy|Kimberly|Christopher,box:42|keep:6,Juan|Samantha|Heather|Brianna|Christopher
1250,29806,开发当然她的.,60537,Rachael|Mercedes,bad:13,Carl|Lauren
1251,60282,全部一定名称.,83179,Renee|Mark,every:31,Shannon|Eric|Daniel|Joshua|Joseph
1252,20054,男人感觉.,16571,Ellen|Patrick|Brian,voice:45|then:47,Nicole|Amy|Christopher|Craig|Rebecca
1253,52371,深圳投资决定.,51661,Bailey|Nicole|Tara,car:32|number:8,Tammy|Steven|Angela
1254,15987,现在这里项目.,96761,Susan|Jacob|Richard,school:29|course:30,Dustin|Jennifer|Gregory|Melissa|Nicolas
1255,18413,这是科技你的.,82890,Joseph|Elijah|Justin|Mark,bed:16,Christopher|Melissa
1256,16216,这是学习过程.,66400,Daniel|Peter|Gregory,man:32|enter:49|why:26,Michele|Robert
1257,71718,"Text, ""结果系统评论.""",65474,Kelly|Carla|Katherine,performance:50,Kimberly|Jose|Megan|Michael|Jesse
1258,87539,"Text, ""基本社区.""",20616,Aaron|Christopher|Luke|Carol,win:8|now:45,Michelle|Donna|Brenda|Manuel
1259,46626,制作.,35030,Marcus|Kerry|Kristin,each:6,Nicholas|Sara|Danielle|Zachary
1260,67684,实现记者.,3879,John|Heather,keep:37|figure:6|section:20,Jennifer|Jorge|Tami|Alicia
1261,77345,商品空间.,49288,Elizabeth|Robert|Kimberly|Jonathan,size:36|protect:29,Jessica|Morgan|Nicole|Matthew|Frances
1262,56953,今天通过.,24387,Stacy|Douglas,attack:44|win:31,Bruce|Victoria|Lisa|Joshua
1263,16775,方法只要.,55973,Paul|Leslie,beat:18|want:23|the:47,Amber|Thomas|Matthew|Scott|Jennifer
1264,22339,出来看到.,1022,Stephanie|Lisa|Anthony|Andrew|Joel,age:34|soldier:44,Cindy|Sharon
1265,43137,"Text, ""因为那些.""",55411,Eileen|Lisa|Rebekah|Andrew,visit:50|attention:38|drive:40,Michael|Nathaniel|Tammy|Scott
1266,84308,认为处理关于生活.,90776,John|Donna|William|Michael,lose:26,Cindy|Michael|Andrew|Jim
1267,32141,根据提高不能你的.,68656,Brian|Vincent,we:13|data:12|scientist:29,Madison|Kathy
1268,59436,数据上海威望.,89806,Holly|Carolyn|Gary,defense:10,John|Jeffrey|Samuel
1269,55576,基本推荐解决工作.,39773,Cindy|Raven|Matthew,hundred:50,Carla|Rachel|Joshua
1270,26249,报告方法人员.,50563,Renee|Cynthia|Zachary,wide:13|ok:6,John|Laura|Sandra
1271,39724,"Text, ""不要只有.""",21800,Stacey|Lee,range:21|research:26|address:9,Adam|Carol|James|Robert
1272,37357,比较还有.,81203,Jennifer|Richard|Thomas,help:47,William|Michelle|Ryan
1273,41590,单位搜索你们.,51856,Kristine|Jason|Shawn|Ashley,true:8|six:41,Sarah|Brian|Dean
1274,59975,能力作品登录只是.,37446,Samantha|Elizabeth,itself:35,Angela|Kathryn|Kimberly|Ashley|Sarah
1275,52675,项目使用开始最后.,17540,Janet|Natalie|Jamie|Brad|Kristine,team:43|language:39,Troy|Nicholas
1276,14096,详细应该科技活动.,4442,Rita|Kevin|Anthony|Robin|Courtney,source:35|car:29|necessary:13,Joshua|Dennis
1277,42972,"Text, ""包括语言也是.""",35143,Alex|Edward,during:13,Juan|Heather
1278,49476,中文准备经验电话.,52080,Laura|Lauren|Todd,marriage:36|per:45,Colin|Benjamin
1279,96800,很多不断电话.,46837,Manuel|Stephen|Kevin|Ryan|Robert,yeah:6,Matthew|Rachel|Cynthia|Jeff|Joseph
1280,24184,还有很多免费.,48962,Robert|Jennifer,list:47,Brent|Tiffany|Cheryl|Jennifer
1281,758,中文发表只有.,36647,Michael|Todd|Valerie|Robert|Sandra,yard:10|hair:3|thought:2,Tara|Marissa
1282,23168,资源学校.,89629,Ricardo|Sara,argue:28|age:45,Keith|Larry|Brooke|Patricia|Allen
1283,94408,男人觉得因为帖子.,4208,Benjamin|Debra|Kelly|Heather|Jason,attention:34,David|Lauren|Alan
1284,60001,以后男人不同.,38678,James|Courtney|William,story:12,David|Jose|Tony
1285,74742,可以电影觉得.,57760,Katie|Jeffrey|James|Lauren,send:1,Paul|Jason
1286,58800,"Text, ""还是来自联系.""",58493,Marcus|Sheena|Amanda,themselves:17,Mary|Mary|Kevin|Rachel
1287,70394,他的起来个人.,74698,Kelly|Omar|Daniel,trouble:8,Rachel|Jennifer
1288,65805,工程功能.,97858,Kelly|Debra|Lynn,situation:20|item:2,Stephanie|Christopher|Nicole
1289,1725,如何支持.,479,Daniel|David|Tiffany|Dale,offer:23|likely:2,Scott|Patricia|Mercedes|Benjamin
1290,22534,空间音乐内容.,61722,Andrew|Nathan,relate:30|reality:22,Michael|Deanna
1291,10828,影响比较.,67256,Ryan|Adam|Natalie|Linda,wear:40,Michael|Robert
1292,12551,空间今天参加品牌.,53948,Gregory|Lacey|David|Kimberly|Dylan,same:30|find:21,Sarah|Michael
1293,31891,经验.,44906,Isaiah|Linda|Debra,gas:49|cultural:12,Valerie|Lauren|Stephanie
1294,88813,"Text, ""安全解决一下.""",25757,Colleen|Emily|Sarah|Erika|Lance,certain:34,Carl|Miranda|Peter|Samuel|Timothy
1295,15191,一次安全.,92668,Michael|Ronald|Samantha,specific:39|some:37,Melissa|Andrew|Kristin
1296,77052,提高地方不能.,61477,Kristina|Breanna|Sherri|Jason,identify:1,Nicholas|Isaiah|Robert
1297,25869,这样这种.,91453,Alicia|Sarah|Whitney|Emily|Taylor,possible:21|finish:13|majority:17,Alexandra|Daniel|Max
1298,24515,"Text, ""记者事情.""",61807,Vincent|Sherry|Abigail|Jason|Kelly,perhaps:6|Mrs:7|director:49,Mark|Jonathan|Howard
1299,66989,如此用户程序.,52949,Ashley|Philip,particularly:37|simple:1,Jose|Ashley|Timothy|Jessica
1300,89747,帖子以下.,30842,Benjamin|Levi,add:32|food:8|place:20,Andrew|Richard|Lisa
1301,11533,新闻人员.,56133,Wesley|Kelly,area:3,Yolanda|Cynthia
1302,4559,系统.,30079,Michael|Melissa,kitchen:22|turn:8|question:39,Timothy|Jill
1303,76467,已经.,30450,Amanda|Thomas|Jeffrey|Cheryl|Jesus,peace:48,Lisa|Marcus|Tonya
1304,82750,客户经验.,50991,Chad|Jack,rock:45|nation:38,Douglas|Adrienne|Amanda|Stephen|Kristin
1305,89347,你们信息.,83911,James|Jill|Alexa,much:22|if:32,Russell|Samantha|Kim
1306,93533,活动不同.,15876,Jason|Christopher|Diane|Kim|Michael,theory:6|share:43|water:40,Ashley|Blake|Julie|Ethan|Eric
1307,82794,你们大小有些.,61731,Leslie|Catherine|Heather,past:49|security:41|interview:48,Kimberly|Paul|Donna
1308,61993,专业会员.,34376,Michael|Leah,consumer:50|interest:44|shoulder:16,Ronald|Ashley
1309,24561,一种.,3387,Megan|Cynthia|John,case:47,Logan|Veronica|Susan|Ian
1310,27257,不要其中中心有些.,72450,Katrina|Ivan|April,thought:21|local:15|table:4,Lauren|Anthony
1311,70916,部分全部基本.,19518,Lydia|Miranda,example:43|spring:38,Steve|Aaron|Yolanda
1312,27815,规定规定基本.,56590,Angela|Shawn,along:36|door:12,Veronica|Lisa|Michael
1313,32020,留言因此一定.,99114,Trevor|Sharon|Andrew|Kevin|Timothy,more:35|represent:26|themselves:47,Brian|Andrea|Roy
1314,7735,资源所有主要.,37926,Keith|Laura|Matthew|Omar|Rick,help:18|fly:42|town:9,Theresa|Jeremy|Danielle
1315,46252,"Text, ""完成最大服务.""",97553,Brittany|David|Leah,down:32|say:2,Brian|Daniel
1316,80318,自己什么质量.,68757,Kayla|Benjamin|Tyler|Sonya,above:37|feeling:11|drive:28,Lisa|Thomas|Crystal
1317,15041,软件.,60889,Danielle|Karen|Richard,area:23|account:22,Michael|Paul
1318,14072,"Text, ""不是还是之间.""",88599,Cody|Douglas|Gina|Christopher,ground:48|impact:34|agree:46,Cindy|Craig|Zachary
1319,13313,感觉.,68650,Jeffrey|Katie|Elizabeth,whether:43|each:3,Laura|Sarah
1320,72121,这是.,70108,Suzanne|Frank,hot:29|hot:10,Robert|Brittany|Michael
1321,23731,对于是否分析一些.,62813,Richard|Mark|Steve|Eric,sometimes:37|their:8|serve:22,Andrea|Kylie|Kelly
1322,11805,中心内容.,71493,Nicholas|Hannah|Nichole|Veronica|Donna,performance:45|art:23,Austin|Benjamin|Erin|Eddie|Bonnie
1323,11828,"Text, ""可以谢谢以后.""",66618,Renee|Holly|Joseph|Matthew,notice:17,Amanda|Maria|Thomas
1324,49722,发现一切实现.,44750,Douglas|Alyssa|Sonya|Jennifer,why:2|day:33,Amanda|Danielle
1325,84680,资源.,48779,Michael|Marisa|Andrea|Melody,possible:32,Kim|Joe|Susan|Adam|Kristin
1326,62014,男人当前.,15679,James|Derek|Donna|Jennifer|Cory,history:47|term:45,Heather|Megan|Kristina
1327,11802,时候一点实现.,49641,Tiffany|Elizabeth|Melanie|Stacy,father:41|grow:3|early:17,Taylor|Nancy|Cheyenne|Glenn
1328,84800,责任.,29818,Brian|James|Vanessa|Lucas|Ann,character:45|eye:38,Peter|Nicole
1329,3591,实现设备.,1968,Scott|Chad|Bryan|Amy|Karen,difficult:30,Kathleen|Timothy
1330,11334,"Text, ""谢谢.""",30138,Susan|Cindy|Veronica,specific:49|phone:19,Mike|Justin|Elizabeth|Randall|Maria
1331,66190,销售没有文章什么.,50346,Gregory|Mike|Angela,entire:19|radio:37|drop:28,Ronald|Bradley|Nancy|Emily|Perry
1332,81205,品牌新闻.,73214,Jennifer|Jennifer|Jeremy|Frank|Elizabeth,page:14,Emily|Douglas|Michelle|Dana|Steven
1333,68990,项目支持.,4114,Curtis|Justin|Juan|Norman|Jonathan,morning:2|ability:31|direction:46,James|Victor|Jesse
1334,68888,解决注册.,63057,Stephen|Lisa,public:30|fact:35,Kayla|Kristie|Ryan|Shannon|Mitchell
1335,54866,一种工具.,71629,Jennifer|Kylie|Elijah|Lisa|Albert,leader:12|wife:27,Joseph|Clinton|Brandon
1336,89297,资料次数影响.,38659,Krystal|Eric|Emily,expect:7|everybody:14,Natalie|Tim|Aaron
1337,56816,虽然北京北京.,42387,Denise|Kenneth,significant:21|public:18,Cheryl|Mary|Jessica|John|Stacey
1338,94471,完全首页生产.,53566,Adam|Matthew,end:8|involve:11|less:11,Stephanie|Brittany
1339,38521,到了有限没有.,96922,Christina|Timothy|Timothy,table:39|catch:39|institution:30,Paul|Jonathan
1340,46567,"Text, ""影响.""",61295,Lisa|Kara|Virginia|Michelle,beat:47,Ian|Ashley|Barbara|Michael|Carolyn
1341,2260,软件分析.,42098,Laura|Christopher|Victoria,maybe:42|outside:14|nature:3,Brian|Mary|Emily|Sharon|Kimberly
1342,98069,销售需要现在.,8302,Megan|James|Joseph|Isaiah|Tracy,safe:6|manage:35|exist:39,Ryan|Susan
1343,7999,以上部分.,4322,Jeremy|Kathleen|Gary|Mark|Steven,choose:36|page:3|especially:50,Amber|Frank|Jason
1344,20764,控制注册得到.,76476,Anthony|Timothy|Jason|Bryan|Christina,as:9|red:14|actually:40,Shawn|Alexander
1345,34636,最后由于全部.,22139,Erica|James,star:36,Jennifer|Kathy|Amber|Zachary|Steven
1346,38188,图片.,81639,Dawn|Erica|Jeanne|Laura,culture:47|popular:32,Melissa|Donald|Amanda
1347,98752,功能资料.,92426,Barry|Robert|Caleb,part:12|second:1,Megan|Robert|Catherine|Matthew
1348,13624,各种的人质量.,71923,Mary|Brenda,town:23,Timothy|Timothy
1349,46274,最大之间注册.,47285,Dean|Laura,project:21|learn:15,Eric|Maria|Michele|Anthony
1350,8836,城市我的地区.,25198,Matthew|Erin,deep:40,Katherine|Brad|Cody|Laura
1351,65137,最后结果.,59715,Michael|Kenneth,into:31|with:10,Daniel|Ariana|Victoria|Christina|Gavin
1352,50981,有限组织.,46012,Martin|Courtney|Alyssa,myself:23,Amanda|Melissa|Jennifer|Jason|George
1353,23202,学习进入在线.,17276,Bryan|David,color:31|remember:28|knowledge:29,Destiny|Brian|Nathan|Becky
1354,54814,"Text, ""事情那个.""",31933,Chelsea|Christina,skill:33|kitchen:11,Stephen|Kathryn|William
1355,55577,生产能力谢谢.,22793,Sheena|Pamela|Julia,teach:27|last:21|future:28,Kristin|Katherine|Margaret|Lisa|Sean
1356,52411,"Text, ""具有建设必须.""",78754,Thomas|Cody|Nicholas,scene:12|quality:29|up:6,Hunter|Hannah|Lauren|Jennifer|Bradley
1357,53259,人民本站非常.,28865,Michael|Randall,him:49|writer:7|develop:39,Javier|Miranda|Danielle
1358,64224,"Text, ""起来时间质量是否.""",85444,Suzanne|Brenda|Stacy|Kevin|Amber,fact:37|since:24|guess:26,Kayla|Erik
1359,11234,"Text, ""我们完成觉得.""",6545,Claudia|Daniel|Alexa|Brett,reason:11|goal:17|consider:20,James|Courtney|Amber
1360,65869,标准如果.,15118,Robert|Jamie|David,them:12|five:6|probably:20,James|Brian|Edwin
1361,42959,销售没有.,11674,Dylan|Austin|Brett|Tonya,tonight:48|security:3|sound:45,John|Juan|Sandra
1362,43579,客户不断.,2534,Jason|Timothy|Paula|Kimberly|Terry,force:23|figure:45|economic:15,Paul|Nicole|Christopher
1363,58511,"Text, ""正在文化认为.""",14045,Hailey|Cody|Kelly,cause:42|Republican:50,Kenneth|Sheila|John|Samantha
1364,71141,如果只要影响.,94654,Sylvia|Janice|Michelle,popular:48,Ashley|Riley
1365,4513,出来帖子.,78509,Amanda|Terry|Kevin,or:8,Mark|Tiffany|Samantha
1366,89213,建设功能历史.,50175,Aaron|Michael,suggest:24|image:32|body:6,Manuel|Nathan|Alexander
1367,21090,社会程序可能.,83368,Robert|Aaron|Kristen,effort:45|pay:24,James|Stacey
1368,78897,责任以上增加.,7753,Sarah|Michele,set:35,Adam|Devin
1369,91597,其中两个业务之后.,60856,Matthew|Stephen|John|Helen|David,former:42,John|Patrick|Teresa|Dorothy
1370,44128,虽然更多男人.,92254,Rebecca|Joshua|Bill|Andrew,answer:43,Thomas|Anthony
1371,10881,"Text, ""进入点击.""",91182,Craig|Brianna|Robert|Shane|Heather,edge:13|really:41,Michelle|Tammy|Debra|Tammy|Mario
1372,68280,非常专业之后.,6413,Michael|Alan,data:7|part:44|stock:44,Jesus|Crystal|Eric
1373,75588,所以所以提高.,31185,Timothy|Wanda|Tiffany|Evan|Kyle,not:24|long:15|hospital:29,Todd|Shannon
1374,6842,"Text, ""汽车或者.""",98142,Shelby|Lori|Dylan|Joseph|Jeremy,among:42,Anne|William|Henry
1375,64119,电影国家计划.,18133,Sharon|Michelle|Sylvia,far:46|fast:47,Jesse|Anthony|Morgan|Dominic|Christopher
1376,73277,开始.,83562,Kelly|Sharon|Troy,turn:33|experience:4|smile:33,Zachary|James
1377,5739,"Text, ""有些提供教育.""",77545,Ronald|Maria|Sara|Jasmine,art:17|provide:35,Maria|Laura|William|Heather|Karen
1378,97500,直接汽车其中可是.,77215,Darryl|Darren|Anne|Timothy,play:8,Pamela|Tiffany
1379,49774,我的质量.,95692,Christopher|Tamara|Hannah,prevent:48|wrong:17|in:28,Rhonda|Jeffrey
1380,1551,"Text, ""运行不能音乐.""",23804,Richard|Cathy,popular:45|likely:45|fish:38,Brandi|Alexander
1381,33933,这个.,41496,Jerome|Sandra|Kenneth,memory:16|body:25,Eric|Cindy|Veronica
1382,6841,"Text, ""系统中文系统.""",86627,Sabrina|Joshua|Brandi|Matthew|Andrew,plant:27|defense:34|form:27,Ryan|Adam
1383,41243,需要提高.,5834,Chase|Matthew|Andrew|Scott,sea:42|brother:19,Melissa|John|Christine|Molly|Frank
1384,1865,信息发现.,61325,Stephanie|Ann,who:32|contain:6,Samantha|Shawn|Maxwell|Karen
1385,16322,"Text, ""的人数据.""",59984,Stephanie|Michael,that:18|everything:43,Roy|Matthew|Donna
1386,60403,起来标准登录.,48754,Walter|Micheal|Charles|Kerry,enjoy:32|indeed:23|end:16,Danielle|Robert|Michele
1387,69818,的是详细.,16321,Donna|Pamela|Jennifer,establish:48,Laura|Timothy|Daniel
1388,48250,控制有限历史.,55733,Michael|Martin|Michael|Christine,between:25|another:47,Anthony|Victoria
1389,22591,有些怎么生活.,35151,Justin|Nicole|Walter|April,prepare:11|reality:46,Mary|Heather
1390,56192,部分不能.,97420,Melissa|Robert|Michael,work:45|draw:43|least:20,David|Brandon|Kaitlyn|Ronald|James
1391,51211,"Text, ""那个.""",82352,Meghan|Rebecca|Daniel|Denise,who:15|act:26|field:2,Michael|April|Joseph|Jonathan|Alexander
1392,70371,"Text, ""进行大小.""",61889,Gerald|Mark|Patricia|Carol,thousand:8,Wendy|Gabriel|Christine|Jaclyn|Margaret
1393,26987,空间社区一切.,18688,Larry|Mark|Steven,mother:8|discussion:50|throughout:39,Kayla|Steven|Kevin|James
1394,14182,"Text, ""最后经济还有.""",83390,Michael|Melanie,six:18,Timothy|Joseph|Alexander|Olivia|Kelly
1395,20964,其他谢谢能够.,58362,Scott|Arthur,itself:36|nearly:14,Cory|Jasmin|Kara|John
1396,12184,来源深圳威望.,9204,William|Shawn|Keith|Morgan|David,laugh:37|stock:16|film:35,Ryan|Andrea|Michael|Michael|Tanya
1397,72047,"Text, ""质量网站如何.""",12294,Katherine|Zachary,force:21,Angel|Ronald|Christy|Andrea
1398,23611,我们社区详细.,23519,Bradley|Lisa|Faith|Richard|Derek,hope:23|smile:49,Donald|Tyler|Tami|William
1399,60123,来源继续.,16013,Brad|Patrick|Anita,carry:44|might:40|lead:16,Lisa|Brent
1400,65209,还有由于.,13321,Stacey|Rodney|Christopher|Alejandra|Sara,onto:12|especially:11,Paul|Kathleen
1401,20574,注意经营.,78708,Victoria|Joseph|Jessica|Hailey,car:12|room:33|executive:28,Steven|Katherine|Christina|Lance|Curtis
1402,84364,"Text, ""学习知道.""",23974,Jamie|Jeremy,style:32,Erica|William|Thomas
1403,10841,处理具有.,45783,Jacqueline|Crystal|Sara,long:17|sometimes:21,Kimberly|Yolanda|Daniel|Richard
1404,56861,来源大学经营.,15573,Shirley|Tyler,region:47|future:48,Patrick|Laura|Gregory
1405,53464,"Text, ""提高一下特别.""",70585,Matthew|David|Teresa|Kendra,newspaper:10|prove:24,Stephanie|David
1406,94327,部门计划.,32874,Amanda|Mark|Lisa,indeed:12|or:44,Misty|Tamara
1407,15165,他的类别设备.,43742,Mary|Annette|Felicia,weight:1|allow:46|director:16,Joseph|Joel|James|Jonathan|Krystal
1408,93833,一次名称.,10255,Adam|Dalton|Mark,site:12|form:15|gun:26,Cindy|Stacey|Donna|Hannah
1409,9807,一切主题工程.,33709,Erik|Vincent,between:7|job:29,Felicia|Justin|Tammy
1410,1023,"Text, ""可能.""",74549,Mark|Ashley,who:38,Theresa|Mandy|Charles|Daniel|Courtney
1411,86702,当前.,81560,Monica|Kenneth|Alexis|Michael,hear:14,Alex|Jared
1412,92553,评论环境.,4443,Tammy|Susan|Patricia,trip:6|power:28|year:37,Helen|Patrick|Kayla|Michael
1413,13030,"Text, ""发生开发.""",94492,Shannon|Sarah|Matthew,true:34|attack:5|hour:28,Jody|John|Kelsey
1414,46277,"Text, ""汽车还有.""",95495,Timothy|Danielle|Kevin|Alyssa,game:17,Jennifer|Anita|Melissa
1415,93995,"Text, ""能够.""",16689,Mark|Kayla|Lindsey|Deborah|Tammy,which:50|conference:28|eat:2,Claudia|Erica
1416,26625,合作.,37255,Kimberly|Cindy|Scott,author:16,Earl|Jennifer
1417,79315,环境电影.,49790,Adrian|Tammy|Corey|Teresa|Colleen,begin:20|there:24,Victor|Wanda
1418,5837,今年介绍完成.,68316,Michele|Brendan|Lauren|Rachel,anything:26,Jennifer|Patrick
1419,7472,所以加入.,96376,Debra|Marc,kitchen:42|about:35,Jessica|Eric|Paula|Melissa|Marcus
1420,23565,如果欢迎.,56326,Veronica|Jennifer|Alexander|Emma,about:24,Mark|Amy|Patricia|Katherine|Alicia
1421,97090,"Text, ""完成注意安全.""",92625,Leslie|Hannah,window:26|tend:15|recently:15,Denise|Jerry|Tony|Allen|John
1422,84145,一次经验安全.,29626,Mark|Robert|Kirk,employee:30|follow:8|century:10,Jennifer|Luis|Brenda|Richard|Nicholas
1423,10984,任何目前使用企业.,81987,Tiffany|Willie|Christian|David|Heidi,letter:28|capital:45|light:10,Regina|Joseph|Tina|Sarah|Luke
1424,81645,公司女人.,96241,Jennifer|Sierra|Adam,big:31|sure:40,Cole|Alexander|Kristin|Angela
1425,67997,"Text, ""知道情况管理.""",21663,Jonathan|Louis|Joanna|Ellen|Donald,young:15|perhaps:20,Melinda|Jennifer
1426,7235,"Text, ""系统只是开始.""",87601,Richard|Edward|Courtney|Yvonne,television:26|security:49,Robert|Kyle|Ashley|Danielle
1427,88647,"Text, ""但是社会.""",81098,Monica|Benjamin|Jamie|Lauren|Amy,late:4,April|Trevor
1428,65669,地方然后来自.,50135,Jessica|Phillip|Nathan,someone:21|occur:28,Pamela|Sharon|Ebony
1429,45947,关系分析.,20539,Andrew|Kimberly,unit:26|feel:15,Benjamin|Michael|Jacob
1430,4489,"Text, ""情况时候关于.""",26979,Ryan|Don,find:50|impact:25|involve:34,Margaret|Jeffrey|Faith|Cody
1431,42739,决定历史质量.,54015,Jessica|Tyler|Matthew|Ryan,born:22,Heather|Alexandria|John|Gregory
1432,43445,"Text, ""网上只是不过.""",10781,Jacqueline|Joshua|Austin|Philip|Robert,just:22|beautiful:48|four:49,Dawn|Stephen
1433,11365,文章最大.,16300,Fernando|Tiffany|Tammy,resource:33,Tyler|Peter|Timothy|Colleen
1434,14561,"Text, ""一般而且.""",42241,Wesley|Chris|Glenda|John|Jasmine,sing:6,Vincent|Austin|Nicole
1435,21604,方法其他.,85286,Debra|Jennifer,let:47|would:21|there:27,Mark|Mark|Travis|Joshua|Lisa
1436,5421,美国而且系列东西.,40691,Robert|Carrie|Rachel|Regina,own:4|important:15,Jennifer|Brianna|Tammy|Joseph|John
1437,24277,有些其他.,30718,Robert|Jennifer|Rebecca|Megan,none:30|sometimes:21,Natasha|Andrea|Michael|Brianna|Andrea
1438,49109,"Text, ""公司关于.""",55485,Emily|Tiffany|Samantha,stuff:49|wonder:15,Nicholas|Jason|Jason|Jared|Elizabeth
1439,86103,"Text, ""自己标题注册.""",90470,Cheryl|Jennifer|Christine|Adrienne|Diane,clearly:42,Monique|Mark|Ashlee
1440,41514,解决表示加入.,20295,Stephanie|Kristina,around:26|yard:23,David|Laura
1441,33558,下载提高电子学习.,18175,Judy|Gary|Amy|Rodney,number:20,Joseph|Erin|Cassandra|Kristina
1442,6005,继续产品.,11754,Joshua|William|Sandra,film:9,Jeffery|Christopher|Michael|Laura|Richard
1443,4324,教育用户欢迎.,48942,James|Teresa|Andrew|Hector,on:17|entire:44,Chloe|Thomas|Danielle|Sue|Alan
1444,93085,设备怎么.,15216,Jimmy|Shelley|Veronica,daughter:43|brother:23|medical:35,Nicole|Alyssa
1445,78307,软件无法.,92098,Amy|Vanessa|Stephen|Chloe,do:27|save:43,Deborah|Jacob
1446,47970,单位主题评论现在.,74408,Kristen|Doris|Christine|Sean|Diane,similar:27,Brian|Riley|Lance|Michael|Oscar
1447,4614,运行看到.,5024,Kimberly|Tara|George|Colin|Erica,law:41|those:21|lead:19,John|Scott|Daniel|Mary
1448,69159,登录阅读.,54843,Amy|Martin|David|Derrick,performance:43|later:21,Anthony|Heather|Nicole
1449,69349,那么文件基本商品.,87361,Kayla|Meghan|Vincent,perform:36|beat:41,Nicole|Jennifer
1450,81227,出现决定.,84091,Andrea|Michelle|Keith|Raymond,read:4|so:22|agency:39,Dustin|Amy
1451,14036,"Text, ""为了两个重要公司.""",19189,Nicholas|Joseph|Laurie|Rebecca,return:18|wish:10,Shelly|Glenn
1452,90239,"Text, ""软件.""",6831,Shawn|Samantha,reveal:37|million:42|kind:43,Megan|Michele|Bianca|Daniel|Robert
1453,22810,会员这个合作.,75035,Jessica|Heather,leg:16|believe:3|hotel:23,Connor|Ryan
1454,88439,有关北京.,32909,Scott|Louis|Kimberly,or:40|realize:7|mouth:11,Daniel|Anna
1455,7247,女人显示.,34219,Julie|Joshua,kitchen:47|thus:23,Teresa|Glen|Steve|Matthew|Shannon
1456,13672,在线一下你的.,40334,Cindy|James|Cynthia,look:37,Zachary|Paul|Nicole|Christine|Amy
1457,80084,事情北京.,20566,Jason|Sharon|James|John,local:37|relate:14|actually:27,David|Dillon|Joanne|Louis|Lisa
1458,65088,特别方面这个.,54469,Thomas|Gabrielle|Joanna|Justin,pick:18|which:35|address:30,Vanessa|Kristin|Kimberly|Pamela
1459,68035,两个经营说明.,45520,Susan|Hannah|David|Laura,oil:36|player:16,Andrew|Robert|Michael
1460,28043,怎么主要.,33303,Jasmine|Nicholas,key:8|close:49|southern:19,Jennifer|Jason|Caleb
1461,28545,公司一般.,26481,James|Jasmine|Robyn,defense:3,Janice|Sandra
1462,55986,显示参加之后.,56229,Robert|Rebecca,work:27|hospital:11,Ashley|David
1463,69607,应用类别.,10840,Michael|Alexandra|Cynthia|Michael|Kristi,use:32,Jenny|Amanda
1464,46756,因为所有您的.,68736,Sara|Jennifer|Christopher,as:20,Seth|James|Elizabeth
1465,70836,能够学校.,32138,Ana|Jennifer,low:26|professional:43,Robert|Karen|Jason|Amber
1466,55004,价格不过.,3087,John|Kyle|Jesse|Teresa,approach:34|seven:37,Joshua|John|Stephanie|Darren|George
1467,94500,那么大家所以.,381,Lisa|Jerry|Holly,represent:34|artist:47|whole:39,Matthew|Tasha|Emma|Elaine
1468,22227,登录语言表示.,29686,Brian|Michael|Brandon|Martha|Timothy,short:18|political:6,Sydney|Debra|Tammy
1469,53331,结果类型.,4353,Abigail|Daniel|Karen|Jennifer,call:22,Amy|James|Ruth|Joshua|Charles
1470,41446,类型一下.,75768,Jeffrey|Richard|John|David|Samuel,listen:2|federal:27|federal:25,Joseph|William|David
1471,35238,"Text, ""直接规定资源.""",4164,Rachel|James,benefit:11,Sabrina|Sharon|Christina|Donna|Sandra
1472,95280,已经下载.,92468,Michael|Scott,to:35|radio:34|skin:16,Hannah|Joseph
1473,14521,显示的是不要不过.,4388,Anthony|Yvonne|Cynthia|Donald|Heather,hot:38|figure:33|drop:50,Mary|Linda|Natalie|Kevin
